period,column,percent_null
6,Category,8.17688777638715
6,Cellular Technology,56.65415102211098
6,Colour,23.654568210262827
6,Commodity name,22.987067167292448
6,Cost per Item,8.17688777638715
6,Country of Origin,8.17688777638715
6,Currency,8.17688777638715
6,Customer care Phone,16.10346266166041
6,Customer care address,21.61034626616604
6,Customer care email,16.06174384647476
6,Dependent Product,8.17688777638715
6,Description,8.17688777638715
6,Display Type,54.943679599499376
6,EDGE,94.78514810179391
6,Expandable Memory,100.0
6,FM Radio,100.0
6,Features,48.14351272423863
6,Fingerprint Recognition,32.12348769294952
6,GPRS,100.0
6,Glass Type,97.66374634960367
6,Gtin Type,8.17688777638715
6,Gtin Value,8.17688777638715
6,Height,96.8293700458907
6,Height (cm),8.17688777638715
6,Highlights,9.094701710471423
6,Hybrid SIM Slot,78.38965373383397
6,In The Box,17.897371714643302
6,Internal Storage,25.573633708802667
6,Item Height,22.444722569879016
6,Item Length,22.444722569879016
6,Item Width,22.444722569879016
6,Length (cm),8.17688777638715
6,Media,8.17688777638715
6,Memory (RAM),26.1994159365874
6,Microphone,90.6549853984147
6,Mobile Type,100.0
6,Model,18.439716312056735
6,Month and Year of Commodity First Manufactured/Imported/Packed,22.528160200250312
6,Multi Size,8.17688777638715
6,Multiple Country Origin,16.06174384647476
6,NFC,98.6232790988736
6,Name,8.17688777638715
6,Name and address of Importer,51.93992490613266
6,Name and address of Manufacturer,24.90613266583229
6,Name and address of Marketed By,28.201919065498537
6,Name and address of Packer,27.11722987067167
6,Name of Seller,21.818940342094283
6,Net Quantity,15.561118064246976
6,Net Quantity Value,99.95828118481434
6,Net Weight,22.444722569879016
6,No of Boxes,8.17688777638715
6,OTG Support,77.84730913642053
6,Operating System,16.812682519816438
6,Operating System Type,32.58239465999166
6,Phone Book Capacity,100.0
6,Preloaded Apps,99.12390488110138
6,Primary Camera,96.5790571547768
6,Primary Colour,91.15561118064247
6,Primary Colour Hex Code,97.70546516478932
6,Processor,15.352523988318731
6,Product Bundle,19.899874843554443
6,Product Dead Weight (gram),8.17688777638715
6,Product Publishing Date,12.932832707551107
6,Quick Charge,45.55694618272841
6,Rear Camera,29.954109303295784
6,Recommended For Gaming,79.9749687108886
6,Reporting HSN Code,8.17688777638715
6,Return Time Unit,8.17688777638715
6,SIM Type,44.43053817271589
6,Screen Resolution,46.85022945348352
6,Screen Size (Diagonal),14.100959532749268
6,Selfie Camera,18.35627868168544
6,Seller Identifier,8.17688777638715
6,Selling Price,8.17688777638715
6,Sensors,34.83521068001669
6,Series,53.23320817688778
6,Size,8.17688777638715
6,Slug,8.17688777638715
6,Speaker,100.0
6,Standby Time,94.11764705882352
6,Storage Type,78.13934084272006
6,Sub-brand,68.25198164372132
6,Tags,8.17688777638715
6,Talk Time,92.40717563621193
6,Teaser Tag Name,24.572382144347102
6,Thickness,96.78765123070505
6,Touch Screen,100.0
6,Track Inventory,8.17688777638715
6,Trader Address,13.47517730496454
6,Trader Name,13.47517730496454
6,Trader Type,8.260325406758447
6,UID,8.17688777638715
6,USB,51.105548602419695
6,Verification Status,8.260325406758447
6,Video Formats,65.87400917813933
6,Video Playback Time (Hours),99.58281184814352
6,Warranty,14.559866499791404
6,Water Resistant,61.24322069253233
6,Weight,96.99624530663328
6,Wi Fi,96.5790571547768
6,Width,96.8293700458907
6,Width (cm),8.17688777638715
6,Wireless Charging Support,81.01793909052984
6,search-whitelist,98.83187317480183
12,2G Bands,96.3649073750437
12,3G,95.98042642432716
12,3G Bands,96.57462425725271
12,4G,81.99930094372597
12,4G Bands,96.3998601887452
12,5G,51.345683327507864
12,5G Bands,100.0
12,Actual Price,7.8643830828381684
12,Additional Connectivity,95.80566235581965
12,Audio Formats,63.544215309332394
12,Audio Jack,57.077944774554354
12,Available,7.8643830828381684
12,BIS Model Number,64.27822439706397
12,Battery Capacity,24.641733659559595
12,Battery Run Time,69.76581614819993
12,Battery Voltage,100.0
12,Bluetooth,19.29395316322964
12,Bluetooth Version,23.732960503320516
12,Brand,7.8643830828381684
12,Category,7.8643830828381684
12,Cellular Technology,51.555400209716886
12,Colour,25.550506815798673
12,Commodity name,25.305837119888153
12,Cost per Item,7.8643830828381684
12,Country of Origin,7.8643830828381684
12,Currency,7.8643830828381684
12,Customer care Phone,16.288011184900384
12,Customer care address,23.802866130723523
12,Customer care email,16.218105557497378
12,Dependent Product,7.8643830828381684
12,Description,7.8643830828381684
12,Display Type,52.63893743446347
12,EDGE,94.72212513107306
12,Expandable Memory,100.0
12,FM Radio,100.0
12,Features,44.45997902831178
12,Fingerprint Recognition,29.919608528486542
12,GPRS,100.0
12,Glass Type,96.95910520796924
12,Gtin Type,7.8643830828381684
12,Gtin Value,7.8643830828381684
12,Height,95.87556798322265
12,Height (cm),7.8643830828381684
12,Highlights,8.70325061167424
12,Hybrid SIM Slot,77.6301992310381
12,In The Box,17.476406850751484
12,Internal Storage,25.061167423977633
12,Item Height,24.466969591052077
12,Item Length,24.466969591052077
12,Item Width,24.466969591052077
12,Length (cm),7.8643830828381684
12,Media,7.8643830828381684
12,Memory (RAM),24.397063963649074
12,Microphone,89.47920307584761
12,Mobile Type,100.0
12,Model,17.09192590003495
12,Month and Year of Commodity First Manufactured/Imported/Packed,24.641733659559595
12,Multi Size,7.8643830828381684
12,Multiple Country Origin,16.07829430269137
12,NFC,98.42712338343237
12,Name,7.8643830828381684
12,Name and address of Importer,51.13596644529884
12,Name and address of Manufacturer,26.634044040545263
12,Name and address of Marketed By,30.408947920307583
12,Name and address of Packer,29.325410695560993
12,Name of Seller,23.977630199231037
12,Net Quantity,15.169521146452288
12,Net Quantity Value,99.96504718629849
12,Net Weight,24.466969591052077
12,No of Boxes,7.8643830828381684
12,OTG Support,80.1468018175463
12,Operating System,15.588954910870326
12,Operating System Type,33.344984271233834
12,Phone Book Capacity,100.0
12,Preloaded Apps,98.95141558895492
12,Primary Camera,95.42118140510311
12,Primary Colour,87.97623208668298
12,Primary Colour Hex Code,96.92415239426774
12,Processor,14.085983921705697
12,Product Bundle,18.94442502621461
12,Product Dead Weight (gram),7.8643830828381684
12,Product Publishing Date,11.988815099615518
12,Quick Charge,44.18035651869975
12,Rear Camera,32.08668297797973
12,Recommended For Gaming,80.49632995456135
12,Reporting HSN Code,7.8643830828381684
12,Return Time Unit,7.8643830828381684
12,SIM Type,44.11045089129675
12,Screen Resolution,49.84271233834324
12,Screen Size (Diagonal),12.9325410695561
12,Selfie Camera,17.022020272631945
12,Seller Identifier,7.8643830828381684
12,Selling Price,7.8643830828381684
12,Sensors,32.08668297797973
12,Series,54.771059070255156
12,Size,7.8643830828381684
12,Slug,7.8643830828381684
12,Speaker,100.0
12,Standby Time,94.0580216707445
12,Storage Type,73.29605033205173
12,Sub-brand,68.82209017825936
12,Tags,7.8643830828381684
12,Talk Time,92.17056973086333
12,Teaser Tag Name,23.698007689619015
12,Thickness,95.77070954211814
12,Touch Screen,100.0
12,Track Inventory,7.8643830828381684
12,Trader Address,13.037399510660608
12,Trader Name,13.037399510660608
12,Trader Type,8.00419433764418
12,UID,7.8643830828381684
12,USB,51.45054176861237
12,Verification Status,8.00419433764418
12,Video Formats,64.34813002446697
12,Video Playback Time (Hours),99.65047186298497
12,Warranty,13.247116392869627
12,Water Resistant,63.12478154491436
12,Weight,96.01537923802866
12,Wi Fi,95.52603984620762
12,Width,95.87556798322265
12,Width (cm),7.8643830828381684
12,Wireless Charging Support,82.66340440405453
12,search-whitelist,98.56693463823838
